Accident year,Casualty severity,Local authority,Ons code,Casualty age,Accident month,Accident day,Accident hour,Casualties,Built up roads,Casualty sex,Detailed road user,Special conditions at site,Light condition,Road user by casualty class,Road user,Road surface,Road type,Speed limit,Road class,Weather condition,Casualty class
2020,Slightly injured,Barking,E09000002,54,June,Wednesday,16,1,Built up road,Male,Cyclist,None,Daylight,Pedal Cyclist,Pedal cycle,Dry,Roundabout,21-30 mph,A,Fine no high winds,Driver or rider
2020,Slightly injured,Tower Hamlets,E09000030,44,February,Monday,12,1,Built up road,Male,Car occupant (from 2005),None,Daylight,Car_Driver,Car (Includes taxis and minibus),Dry,Dual carriageway,31-40 mph,A,Fine no high winds,Driver or rider
2020,Slightly injured,Barking,E09000002,20,August,Wednesday,0,1,Built up road,Male,Car occupant (from 2005),None,Darkness - lights lit,Car_Driver,Car (Includes taxis and minibus),Dry,Single carriageway,21-30 mph,C,Fine no high winds,Driver or rider
2020,Seriously injured,Tower Hamlets,E09000030,28,March,Saturday,5,1,Built up road,Male,Cyclist,None,Darkness - lights lit,Pedal Cyclist,Pedal cycle,Dry,One way street,1-20 mph,Unclassified,Fine no high winds,Driver or rider
2020,Slightly injured,Southwark,E09000028,27,October,Sunday,16,1,Built up road,Female,Motorcycle 51 - 125cc rider/pass (from 1999),None,Daylight,Motor_Cycle_Rider,Motorcycle,Wet or damp,Single carriageway,1-20 mph,A,Raining no high winds,Driver or rider
2020,Slightly injured,Tower Hamlets,E09000030,26,May,Tuesday,18,1,Built up road,Male,Cyclist,None,Daylight,Pedal Cyclist,Pedal cycle,Dry,Single carriageway,1-20 mph,A,Fine no high winds,Driver or rider
2020,Slightly injured,Brent,E09000005,59,June,Monday,10,1,Built up road,Male,Cyclist,None,Daylight,Pedal Cyclist,Pedal cycle,Dry,Single carriageway,21-30 mph,C,Fine no high winds,Driver or rider
2020,Slightly injured,Enfield,E09000010,28,January,Tuesday,10,1,Built up road,Female,Car occupant (from 2005),None,Daylight,Car_Driver,Car (Includes taxis and minibus),Wet or damp,Unknown,31-40 mph,A,Raining no high winds,Driver or rider
2020,Slightly injured,Brent,E09000005,55,October,Sunday,7,1,Built up road,Male,Cyclist,None,Daylight,Pedal Cyclist,Pedal cycle,Dry,Roundabout,1-20 mph,A,Unknown,Driver or rider
2020,Slightly injured,Harrow,E09000015,45,May,Friday,16,1,Built up road,Male,Car occupant (from 2005),None,Daylight,Car_Driver,Car (Includes taxis and minibus),Dry,Dual carriageway,21-30 mph,C,Fine no high winds,Driver or rider
